temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
256.0	-8.6859172025	-8.77231802775	-8.837028422249999	-8.882301014875	-8.909846214625	-8.921912623125	-8.920020926	-8.90570652275	-8.880054556875	-8.84464643525	-8.800480468375001
258.0	-8.685942066625001	-8.772344217125001	-8.837056073	-8.882330307250001	-8.909877324250001	-8.92194574475	-8.920056258625	-8.905744291625	-8.880095009	-8.844689790125	-8.800527035875001
260.0	-8.685967478750001	-8.772370983625	-8.8370843325	-8.882360243375	-8.909909115625	-8.921979589374999	-8.920092358375	-8.905782875	-8.88013632575	-8.844734062375	-8.8005745765
262.0	-8.685993444625002	-8.772398333125	-8.837113207	-8.882390829750001	-8.90994159575	-8.922014164124999	-8.920129232499999	-8.905822280375	-8.880178514875	-8.844779259875	-8.800623098125001
264.0	-8.686019969750001	-8.772426271625001	-8.837142702875	-8.882422073	-8.909974771125	-8.922049475875	-8.9201668885	-8.905862515125	-8.880221584125	-8.844825390250001	-8.800672608625002
266.0	-8.68604705975	-8.77245480475	-8.837172826	-8.882453979375	-8.91000864875	-8.922085531875	-8.920205333375	-8.905903586625	-8.880265540875	-8.844872461125	-8.8007231155
268.0	-8.686074720250001	-8.7724839385	-8.83720358275	-8.8824865555	-8.910043235125	-8.922122338749999	-8.920244574375	-8.905945502125	-8.880310392625	-8.84492048	-8.800774626375
270.0	-8.686102956500001	-8.77251367875	-8.837234979	-8.882519807625	-8.910078536875	-8.922159903374999	-8.9202846185	-8.905988269	-8.88035614675	-8.844969454375	-8.800827148625
272.0	-8.68613177425	-8.772544031	-8.837267020875	-8.882553741875	-8.910114560625	-8.922198232625	-8.9203254725	-8.90603189425	-8.88040281025	-8.845019391375	-8.800880689625
274.0	-8.686161178750002	-8.772575001125	-8.83729971425	-8.882588364750001	-8.910151312625	-8.922237333124999	-8.9203671435	-8.906076384875	-8.8804503905	-8.845070298375001	-8.8009352565
276.0	-8.686191175500001	-8.77260659475	-8.837333065125	-8.882623682125	-8.910188799375	-8.922277211374999	-8.92040963825	-8.906121747875	-8.880498894375	-8.84512218225	-8.800990856125
278.0	-8.686221769625002	-8.77263881725	-8.837367079249999	-8.88265970025	-8.91022702725	-8.922317874125	-8.92045296325	-8.90616799	-8.880548328875	-8.84517505	-8.801047495625001
280.0	-8.686252966625	-8.7726716745	-8.837401762625	-8.88269642525	-8.910266002375	-8.922359327625	-8.92049712525	-8.906215118	-8.88059870075	-8.845228908500001	-8.801105181750001
282.0	-8.686284771750001	-8.772705171875	-8.83743712075	-8.882733863	-8.91030573125	-8.92240157825	-8.920542130874999	-8.9062631385	-8.880650016625	-8.84528376425	-8.801163921
284.0	-8.68631719	-8.772739314875	-8.8374731595	-8.882772019375	-8.910346219625	-8.9224446325	-8.9205879865	-8.906312058125	-8.880702283125	-8.845339624125	-8.801223720125
