temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
240.0	-8.842534255124999	-8.872440476125	-8.8948916615	-8.910474256499999	-8.919558565875	-8.922500937	-8.919640130125	-8.911253419125	-8.8975316785	-8.8786273745	-8.854766961625002
242.0	-8.842563713999999	-8.872469562	-8.894920462125	-8.91050286	-8.919587050125001	-8.922529368000001	-8.919668613625	-8.91128201575	-8.89756046875	-8.8786564365	-8.854796383125
244.0	-8.842593874375	-8.87249934225	-8.89494995175	-8.910532149	-8.9196162175	-8.922558481500001	-8.919697780249999	-8.91131129775	-8.897589947375	-8.878686191125	-8.85482650275
246.0	-8.842624743875	-8.87252982475	-8.89498013825	-8.910562131125	-8.919646075875	-8.92258828525	-8.919727638	-8.911341272500001	-8.897620122	-8.87871664625	-8.85485732825
248.0	-8.842656330375	-8.872561016999999	-8.895011029125	-8.910592814125	-8.919676633	-8.922618786875	-8.919758194249999	-8.911371947875	-8.897651000375	-8.878747809250001	-8.854888867000001
250.0	-8.84268864125	-8.87259292675	-8.895042632125	-8.910624205625	-8.9197078965	-8.922649994125	-8.919789456875	-8.911403331375	-8.897682590125	-8.878779687875001	-8.85492112675
252.0	-8.842721684125	-8.872625561375	-8.895074954875	-8.910656313125	-8.91973987375	-8.9226819145	-8.919821433374999	-8.91143543075	-8.89771489875	-8.8788122895	-8.854954114875001
254.0	-8.8427554665	-8.8726589285	-8.89510800475	-8.91068914425	-8.919772572500001	-8.9227145555	-8.91985413125	-8.911468253375	-8.897747933749999	-8.878845621750001	-8.854987838625
256.0	-8.842789995625	-8.8726930355	-8.895141789125	-8.91072270625	-8.919806000125	-8.922747924625	-8.919887558	-8.911501806750001	-8.8977817025	-8.878879691625	-8.855022305375
258.0	-8.842825278749999	-8.8727278895	-8.895176315375	-8.910757006625	-8.919840164	-8.922782029125	-8.919921720875	-8.911536098125001	-8.89781621225	-8.87891450675	-8.85505752225
260.0	-8.842861323249998	-8.872763497874999	-8.89521159075	-8.9107920525	-8.91987507125	-8.9228168765	-8.919956627125	-8.91157113475	-8.89785147025	-8.878950074250001	-8.855093496625
